[4, 10, 12, 28, 29, 32] [ 14 ] -- [568, 887, 481, 108, 45, 54, 35, 12, 8, 0, 1, 0, 0, 0]
[6, 7, 9, 16, 20, 27] [ 4 ] -- [520, 930, 510, 110, 39, 51, 25, 5, 8, 0, 1, 0, 0, 0]
[1, 6, 11, 19, 23, 28] [ 4 ] -- [542, 947, 466, 108, 43, 53, 20, 12, 7, 0, 1, 0, 0, 0]
[8, 15, 19, 20, 27, 28] [ 7 ] -- [558, 882, 499, 106, 41, 67, 22, 15, 8, 0, 1, 0, 0, 0]
[10, 16, 17, 18, 22, 26] [ 9 ] -- [536, 862, 515, 125, 38, 58, 48, 9, 7, 0, 1, 0, 0, 0]
[3, 12, 14, 16, 20, 30] [ 16 ] -- [509, 927, 493, 116, 39, 61, 33, 10, 10, 0, 1, 0, 0, 0]
[12, 17, 21, 22, 27, 33] [ 6 ] -- [559, 901, 484, 113, 40, 53, 38, 6, 4, 0, 1, 0, 0, 0]
[1, 2, 3, 5, 26, 28] [ 2 ] -- [540, 898, 516, 102, 26, 58, 37, 13, 8, 0, 1, 0, 0, 0]
[4, 14, 22, 26, 31, 32] [ 12 ] -- [502, 905, 518, 109, 49, 58, 33, 14, 10, 0, 1, 0, 0, 0]
[6, 14, 23, 27, 29, 33] [ 8 ] -- [553, 941, 479, 99, 31, 56, 27, 5, 7, 0, 1, 0, 0, 0]
[1, 5, 10, 23, 28, 33] [ 2 ] -- [594, 909, 457, 101, 25, 59, 29, 8, 16, 0, 1, 0, 0, 0]
[8, 14, 22, 24, 28, 31] [ 5 ] -- [528, 943, 477, 98, 32, 71, 29, 17, 3, 0, 1, 0, 0, 0]
[8, 11, 12, 19, 23, 26] [ 10 ] -- [555, 898, 498, 108, 26, 69, 30, 8, 6, 0, 1, 0, 0, 0]
[3, 11, 18, 30, 31, 33] [ 1 ] -- [574, 918, 464, 98, 44, 44, 35, 8, 13, 0, 1, 0, 0, 0]
[1, 4, 6, 20, 31, 33] [ 3 ] -- [562, 905, 491, 102, 34, 59, 30, 8, 7, 0, 1, 0, 0, 0]
[5, 6, 22, 25, 26, 31] [ 9 ] -- [544, 895, 479, 122, 37, 58, 43, 7, 13, 0, 1, 0, 0, 0]
[4, 12, 14, 15, 25, 30] [ 9 ] -- [589, 830, 497, 117, 44, 69, 25, 14, 13, 0, 1, 0, 0, 0]
[4, 6, 12, 13, 20, 29] [ 2 ] -- [549, 901, 505, 99, 30, 67, 27, 15, 5, 0, 1, 0, 0, 0]
[5, 6, 7, 17, 18, 19] [ 15 ] -- [539, 889, 507, 117, 33, 69, 23, 9, 12, 0, 1, 0, 0, 0]
[9, 17, 23, 24, 27, 33] [ 10 ] -- [583, 927, 453, 95, 33, 66, 25, 9, 7, 0, 1, 0, 0, 0]
[14, 18, 20, 23, 29, 33] [ 9 ] -- [546, 912, 480, 103, 35, 68, 41, 6, 7, 0, 1, 0, 0, 0]
[6, 7, 9, 10, 15, 24] [ 16 ] -- [569, 897, 495, 84, 39, 60, 39, 10, 5, 0, 1, 0, 0, 0]
[11, 16, 17, 19, 21, 22] [ 5 ] -- [559, 886, 501, 107, 31, 58, 38, 10, 8, 0, 1, 0, 0, 0]
[8, 9, 12, 17, 18, 32] [ 16 ] -- [537, 898, 498, 109, 30, 59, 46, 13, 8, 0, 1, 0, 0, 0]
[16, 17, 18, 26, 27, 28] [ 10 ] -- [549, 885, 496, 128, 35, 54, 39, 9, 3, 0, 1, 0, 0, 0]
[5, 6, 10, 13, 26, 33] [ 13 ] -- [593, 855, 498, 107, 27, 68, 32, 9, 9, 0, 1, 0, 0, 0]
[11, 17, 19, 26, 27, 30] [ 15 ] -- [519, 933, 480, 118, 40, 60, 29, 11, 8, 0, 1, 0, 0, 0]
[6, 8, 12, 17, 20, 22] [ 1 ] -- [504, 924, 505, 117, 35, 64, 25, 12, 12, 0, 1, 0, 0, 0]
[4, 11, 14, 20, 25, 29] [ 9 ] -- [553, 889, 488, 100, 28, 76, 40, 17, 7, 0, 1, 0, 0, 0]
[1, 5, 14, 26, 27, 29] [ 3 ] -- [501, 947, 485, 126, 31, 56, 31, 9, 12, 0, 1, 0, 0, 0]
[3, 18, 23, 24, 25, 29] [ 12 ] -- [571, 893, 468, 105, 33, 78, 34, 11, 5, 0, 1, 0, 0, 0]
[5, 9, 14, 19, 20, 27] [ 13 ] -- [544, 895, 492, 123, 35, 56, 33, 8, 12, 0, 1, 0, 0, 0]
[2, 3, 12, 13, 20, 31] [ 1 ] -- [550, 884, 507, 108, 41, 61, 30, 13, 4, 0, 1, 0, 0, 0]
[1, 2, 6, 10, 12, 14] [ 11 ] -- [538, 874, 511, 122, 34, 71, 34, 7, 7, 0, 1, 0, 0, 0]
[3, 8, 10, 11, 18, 31] [ 4 ] -- [548, 913, 500, 103, 35, 53, 29, 11, 6, 0, 1, 0, 0, 0]
[4, 20, 23, 26, 27, 30] [ 14 ] -- [540, 880, 512, 120, 34, 67, 33, 4, 8, 0, 1, 0, 0, 0]
[1, 5, 7, 9, 22, 29] [ 11 ] -- [527, 889, 522, 101, 35, 68, 38, 13, 5, 0, 1, 0, 0, 0]
[7, 9, 11, 19, 23, 31] [ 9 ] -- [558, 903, 474, 104, 51, 66, 29, 8, 5, 0, 1, 0, 0, 0]
[12, 16, 17, 23, 30, 32] [ 6 ] -- [550, 888, 499, 116, 39, 58, 30, 10, 8, 0, 1, 0, 0, 0]
[13, 16, 17, 24, 25, 33] [ 10 ] -- [571, 929, 462, 98, 38, 56, 29, 7, 8, 0, 1, 0, 0, 0]
[2, 3, 8, 18, 24, 33] [ 11 ] -- [561, 899, 483, 100, 49, 62, 27, 9, 8, 0, 1, 0, 0, 0]
[7, 10, 15, 30, 31, 33] [ 8 ] -- [581, 911, 479, 100, 37, 58, 22, 6, 4, 0, 1, 0, 0, 0]
[2, 9, 19, 22, 30, 33] [ 4 ] -- [576, 891, 499, 102, 33, 58, 27, 7, 5, 0, 1, 0, 0, 0]
[5, 6, 21, 24, 30, 33] [ 2 ] -- [562, 951, 458, 92, 36, 58, 30, 6, 5, 0, 1, 0, 0, 0]
[3, 7, 11, 25, 26, 29] [ 1 ] -- [557, 875, 519, 101, 34, 53, 41, 10, 8, 0, 1, 0, 0, 0]
[3, 9, 11, 16, 20, 24] [ 11 ] -- [590, 866, 477, 109, 40, 58, 33, 10, 15, 0, 1, 0, 0, 0]
[4, 14, 18, 20, 30, 32] [ 7 ] -- [530, 869, 531, 114, 40, 57, 32, 16, 9, 0, 1, 0, 0, 0]
[6, 8, 19, 24, 27, 32] [ 13 ] -- [528, 935, 472, 120, 36, 70, 23, 7, 7, 0, 1, 0, 0, 0]
[3, 7, 9, 14, 15, 29] [ 9 ] -- [526, 914, 501, 94, 47, 61, 35, 12, 8, 0, 1, 0, 0, 0]
